--------- beginning of main
09-22 14:29:35.319 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error dup'ing fence fd: 24
09-22 14:29:35.321 26942 26942 E Surface : dequeueBuffer: error duping fence: 24
09-22 14:29:35.325 26942 26978 W Adreno-GSL: <gsl_ldd_control:553>: ioctl fd 95 code 0xc0200933 (IOCTL_KGSL_TIMESTAMP_EVENT) failed: errno 24 Too many open files
09-22 14:29:35.328 26942 26978 W Adreno-GSL: <ioctl_kgsl_syncobj_create:5033>: (60, 10, 171401) fail 24 Too many open files
09-22 14:29:35.345 26942 26957 E Parcel  : fcntl(F_DUPFD_CLOEXEC) failed in Parcel::read, i is 0, fds[i] is -1, fd_count is 1, error: Too many open files
09-22 14:29:35.345 26942 26957 E ITransactionCompletedListener: ERROR(Invalid argument, -22). Failed to call parcel input->read(*previousReleaseFence)
09-22 14:29:35.345 26942 26957 E BnTransactionCompletedListener: Failed to readParcelable, (-22: Invalid argument)
09-22 14:29:35.346 26942 26957 I IPCThreadState: oneway function results for code 1 on binder at 0xb40000792d8a2110 will be dropped but finished with status BAD_VALUE
09-22 14:29:35.393 26942 26942 E Looper  : Error adding epoll events for fd 495558512: Bad file descriptor
09-22 14:29:35.395 26942 26942 E vulkan  : dup(fence) failed, stalling until signalled: Too many open files (24)
09-22 14:29:35.418 26942 26942 E Looper  : Error adding epoll events for fd 495558512: Bad file descriptor
09-22 14:29:35.419 26942 26978 W Adreno-GSL: <gsl_linux_syncobj_merge_multiple:835>: sync_merge(MergeFD 32761 & 32760 Count 425, 32761, 32760) failed
09-22 14:29:35.419 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error waiting for EGL fence: 0x300c
09-22 14:29:35.428 26942 26957 E Parcel  : fcntl(F_DUPFD_CLOEXEC) failed in Parcel::read, i is 0, fds[i] is -1, fd_count is 1, error: Too many open files
09-22 14:29:35.428 26942 26957 E ITransactionCompletedListener: ERROR(Invalid argument, -22). Failed to call parcel input->read(*std::get<sp<Fence>>(acquireTimeOrFence))
09-22 14:29:35.428 26942 26957 E BnTransactionCompletedListener: Failed to readParcelable, (-22: Invalid argument)
09-22 14:29:35.428 26942 26957 I IPCThreadState: oneway function results for code 1 on binder at 0xb40000792d8a2110 will be dropped but finished with status BAD_VALUE
09-22 14:29:35.467 26942 26942 E Looper  : Error adding epoll events for fd 495558512: Bad file descriptor
09-22 14:29:35.478 26942 26978 W Adreno-GSL: <gsl_linux_syncobj_merge_multiple:835>: sync_merge(MergeFD 32761 & 32766 Count 425, 32761, 32766) failed
09-22 14:29:35.478 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error waiting for EGL fence: 0x300c
09-22 14:29:35.568 26942 26942 E Looper  : Error adding epoll events for fd 6881391: Bad file descriptor
09-22 14:29:35.592 26942 26942 E Looper  : Error adding epoll events for fd 495558512: Bad file descriptor
09-22 14:29:39.480 26942 26978 W OpenGLRenderer: dequeueBuffer failed, error = -110; switching to fallback
09-22 14:29:39.482 26942 26978 E GraphicBufferAllocator: Failed to allocate (1 x 1) layerCount 1 format 1 usage 10000000: 5
09-22 14:29:39.482 26942 26978 E AHardwareBuffer: GraphicBuffer(w=1, h=1, lc=1) failed (Unknown error -5), handle=0x0
09-22 14:29:39.482 26942 26978 W OpenGLRenderer: Failed to allocate scratch buffer, error=5
09-22 14:29:39.482 26942 26978 I Adreno  : DequeueBuffer: dequeueBuffer failed
09-22 14:29:40.618 26942 26949 I .games.boxbound: Thread[6,tid=26949,WaitingInMainSignalCatcherLoop,Thread*=0xb40000799d818a60,peer=0x12c03838,"Signal Catcher"]: reacting to signal 3
09-22 14:29:40.618 26942 26949 I .games.boxbound: 
09-22 14:29:40.985 26942 26949 E .games.boxbound: control message was truncated when receiving file descriptors
09-22 14:29:40.985 26942 26949 I .games.boxbound: ----- pid 26942 at 2026-09-22 14:29:40.618409686+0800 -----
09-22 14:29:40.985 26942 26949 I .games.boxbound: Cmd line: org.haiyue.games.boxbound
09-22 14:29:40.985 26942 26949 I .games.boxbound: Build fingerprint: 'XREAL/X4000_PRC/X4000:14/UKQ1.231222.001/X4000_X502_260521_PRC:user/release-keys'
09-22 14:29:40.985 26942 26949 I .games.boxbound: ABI: 'arm64'
09-22 14:29:40.985 26942 26949 I .games.boxbound: Build type: optimized
09-22 14:29:40.985 26942 26949 I .games.boxbound: suspend all histogram:	Sum: 880us 99% C.I. 0.100us-215us Avg: 25.142us Max: 215us
09-22 14:29:40.985 26942 26949 I .games.boxbound: DALVIK THREADS (55):
09-22 14:29:40.985 26942 26949 I .games.boxbound: "main" prio=5 tid=1 Native
09-22 14:29:40.985 26942 26949 I .games.boxbound:   | group="main" sCount=1 ucsCount=0 flags=1 obj=0x71f96670 self=0xb40000799d811b20
09-22 14:29:40.985 26942 26949 I .games.boxbound:   | sysTid=26942 nice=-10 cgrp=top-app sched=0/0 handle=0x7c0bc924f8
09-22 14:29:40.985 26942 26949 I .games.boxbound:   | state=S schedstat=( 494095114120 36049584317 486794 ) utm=36094 stm=13314 core=4 HZ=100
09-22 14:29:40.985 26942 26949 I .games.boxbound:   | stack=0x7ff7b31000-0x7ff7b33000 stackSize=8188KB
09-22 14:29:40.985 26942 26949 I .games.boxbound:   | held mutexes=
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #00 pc 00057840  /apex/com.android.runtime/lib64/bionic/libc.so (syscall+32) (BuildId: 50118287324a156bc7be11d3d940c7be)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #01 pc 0005c4c0  /apex/com.android.runtime/lib64/bionic/libc.so (__futex_wait_ex+148) (BuildId: 50118287324a156bc7be11d3d940c7be)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #02 pc 000c28c4  /apex/com.android.runtime/lib64/bionic/libc.so (pthread_cond_wait+80) (BuildId: 50118287324a156bc7be11d3d940c7be)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #03 pc 00293ac0  /system/lib64/libhwui.so (android::uirenderer::renderthread::DrawFrameTask::drawFrame+368) (BuildId: 8aeeac28aa477efe87951f97e0366067)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #04 pc 00227430  /apex/com.android.art/lib64/libart.so (art_quick_generic_jni_trampoline+144) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #05 pc 00210c80  /apex/com.android.art/lib64/libart.so (art_quick_invoke_static_stub+640) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #06 pc 002546d4  /apex/com.android.art/lib64/libart.so (art::ArtMethod::Invoke+228) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #07 pc 003db328  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1788) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #08 pc 00230cec  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14672) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #09 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #10 pc 004852b4  /system/framework/framework.jar (android.graphics.HardwareRenderer.syncAndDrawFrame)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #11 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #12 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #13 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #14 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #15 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #16 pc 001d9f50  /system/framework/framework.jar (android.view.ThreadedRenderer.draw)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #17 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #18 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #19 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #20 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #21 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #22 pc 001f5388  /system/framework/framework.jar (android.view.ViewRootImpl.draw)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #23 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
