swapNs,durationNs,display,surfaceId,label
10004209250,16633500,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  594 :Surface  533 )"
10020842750,16658625,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  595 :Surface  529 )"
10037501375,16647916,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  596 :Surface  532 )"
10054149291,16641417,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  597 :Surface  533 )"
10070790708,16642333,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  598 :Surface  529 )"
10087433041,16653084,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  599 :Surface  532 )"
10104086125,16641791,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  600 :Surface  533 )"
10120727916,16659042,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  601 :Surface  529 )"
10137386958,16644250,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  602 :Surface  532 )"
10154031208,16653333,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  603 :Surface  533 )"
10170684541,16642459,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  604 :Surface  529 )"
10187327000,16651041,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  605 :Surface  532 )"
10203978041,16649334,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  606 :Surface  533 )"
10220627375,16637625,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  607 :Surface  529 )"
10237265000,16657333,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  608 :Surface  532 )"
10253922333,16645833,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  609 :Surface  533 )"
10270568166,16644584,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  610 :Surface  529 )"
10287212750,16646708,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  611 :Surface  532 )"
10303859458,16647833,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  612 :Surface  533 )"
10320507291,16649750,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  613 :Surface  529 )"
10337157041,16654209,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  614 :Surface  532 )"
10353811250,16641750,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  615 :Surface  533 )"
10370453000,16647875,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  616 :Surface  529 )"
10387100875,16645625,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  617 :Surface  532 )"
10403746500,16653958,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  618 :Surface  533 )"
10420400458,16641125,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  619 :Surface  529 )"
10437041583,16642417,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  620 :Surface  532 )"
10453684000,16648875,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  621 :Surface  533 )"
10470332875,16647500,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  622 :Surface  529 )"
10486980375,16647333,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  623 :Surface  532 )"
10503627708,16645750,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  624 :Surface  533 )"
10520273458,16647792,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  625 :Surface  529 )"
10536921250,16648250,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  626 :Surface  532 )"
10553569500,16648583,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  627 :Surface  533 )"
10570218083,16647542,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  628 :Surface  529 )"
10586865625,16652625,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  629 :Surface  532 )"
10603518250,16653041,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  630 :Surface  533 )"
10620171291,16638250,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  631 :Surface  529 )"
10636809541,16653500,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  632 :Surface  532 )"
10653463041,16658834,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  633 :Surface  533 )"
10670121875,16633125,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  634 :Surface  529 )"
10686755000,16643458,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  635 :Surface  532 )"
10703398458,16658667,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  636 :Surface  533 )"
10720057125,16646375,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  637 :Surface  529 )"
10736703500,16653250,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  638 :Surface  532 )"
10753356750,66583916,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  639 :Surface  533 )"
10819940666,16643084,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  640 :Surface  529 )"
10836583750,16652958,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  641 :Surface  532 )"
10853236708,16648000,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  642 :Surface  533 )"
10869884708,16645542,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  646 :Surface  529 )"
10886530250,16648166,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  647 :Surface  532 )"
10903178416,16649500,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  648 :Surface  533 )"
10919827916,16647959,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  649 :Surface  529 )"
10936475875,16652083,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  650 :Surface  532 )"
10953127958,16637583,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  651 :Surface  533 )"
10969765541,16653459,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  652 :Surface  529 )"
10986419000,16646541,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  653 :Surface  532 )"
11003065541,16647500,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  654 :Surface  533 )"
11019713041,16648667,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  655 :Surface  529 )"
11036361708,16646792,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  656 :Surface  532 )"
11053008500,16640083,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  657 :Surface  533 )"
11069648583,16650958,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  658 :Surface  529 )"
11086299541,16650875,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  659 :Surface  532 )"
11102950416,16642584,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  660 :Surface  533 )"
11119593000,16657000,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  661 :Surface  529 )"
