swapNs,durationNs,display,surfaceId,label
67041709416,16646417,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  13 :Surface  565 )"
67058355833,16642750,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  14 :Surface  568 )"
67074998583,16652417,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  15 :Surface  564 )"
67091651000,16640791,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  16 :Surface  565 )"
67108291791,16655625,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  17 :Surface  568 )"
67124947416,16636750,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  18 :Surface  564 )"
67141584166,16649250,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  19 :Surface  565 )"
67158233416,16648167,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  20 :Surface  568 )"
67174881583,16650333,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  21 :Surface  564 )"
67191531916,16646042,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  22 :Surface  565 )"
67208177958,16651708,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  23 :Surface  568 )"
67224829666,16638750,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  24 :Surface  564 )"
67241468416,16647417,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  25 :Surface  565 )"
67258115833,16652917,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  26 :Surface  568 )"
67274768750,16643750,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  27 :Surface  564 )"
67291412500,16644250,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  28 :Surface  565 )"
67308056750,16655750,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  29 :Surface  568 )"
67324712500,16653666,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  30 :Surface  564 )"
67341366166,16641917,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  31 :Surface  565 )"
67358008083,16653792,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  32 :Surface  568 )"
67374661875,16643750,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  33 :Surface  564 )"
67391305625,16649125,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  34 :Surface  565 )"
67407954750,16652833,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  35 :Surface  568 )"
67424607583,16653125,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  36 :Surface  564 )"
67441260708,16641500,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  37 :Surface  565 )"
67457902208,16647542,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  38 :Surface  568 )"
67474549750,16648333,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  39 :Surface  564 )"
67491198083,16652333,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  40 :Surface  565 )"
67507850416,16644209,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  41 :Surface  568 )"
67524494625,16654875,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  42 :Surface  564 )"
67541149500,16640833,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  43 :Surface  565 )"
67557790333,16656375,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  44 :Surface  568 )"
67574446708,16639167,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  45 :Surface  564 )"
67591085875,16654041,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  46 :Surface  565 )"
67607739916,16642417,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  47 :Surface  568 )"
67624382333,16648000,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  48 :Surface  564 )"
67641030333,16657417,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  49 :Surface  565 )"
67657687750,16642791,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  50 :Surface  568 )"
67674330541,16641834,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  51 :Surface  564 )"
67690972375,16647166,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  52 :Surface  565 )"
